year,date_real,date_aligned,tap_ons_sum
2025,2025-02-02,2000-02-01,1086600.0
2025,2025-02-03,2000-02-02,1934700.0
2025,2025-02-04,2000-02-03,2115600.0
2025,2025-02-05,2000-02-04,2092700.0
2025,2025-02-06,2000-02-05,2261100.0
2025,2025-02-07,2000-02-06,2141500.0
2025,2025-02-08,2000-02-07,1351200.0
2025,2025-02-09,2000-02-08,1081900.0
2025,2025-02-10,2000-02-09,2022800.0
2025,2025-02-11,2000-02-10,2310900.0
2025,2025-02-12,2000-02-11,2294600.0
2025,2025-02-13,2000-02-12,2368500.0
2025,2025-02-14,2000-02-13,1268300.0
2025,2025-02-15,2000-02-14,1320700.0
2025,2025-02-16,2000-02-15,1101800.0
2025,2025-02-17,2000-02-16,2047500.0
2025,2025-02-18,2000-02-17,2337700.0
2025,2025-02-19,2000-02-18,2383100.0
2025,2025-02-20,2000-02-19,2402900.0
2025,2025-02-21,2000-02-20,2205000.0
2025,2025-02-22,2000-02-21,1400800.0
2025,2025-02-23,2000-02-22,1121900.0
2025,2025-02-24,2000-02-23,2304500.0
2025,2025-02-25,2000-02-24,2447400.0
2025,2025-02-26,2000-02-25,2509300.0
2025,2025-02-27,2000-02-26,1841900.0
2025,2025-02-28,2000-02-27,2318600.0
2025,2025-03-01,2000-02-28,1502800.0
2025,2025-03-02,2000-03-01,1126600.0
2025,2025-03-03,2000-03-02,2311100.0
2025,2025-03-04,2000-03-03,2460300.0
2025,2025-03-05,2000-03-04,2524900.0
2025,2025-03-06,2000-03-05,2540900.0
2025,2025-03-07,2000-03-06,2306300.0
2025,2025-03-08,2000-03-07,1407000.0
2025,2025-03-09,2000-03-08,1106300.0
2025,2025-03-10,2000-03-09,2292300.0
2025,2025-03-11,2000-03-10,2386700.0
2025,2025-03-12,2000-03-11,2528800.0
2025,2025-03-13,2000-03-12,2576600.0
2025,2025-03-14,2000-03-13,2280500.0
2025,2025-03-15,2000-03-14,1418900.0
2025,2025-03-16,2000-03-15,1068500.0
2025,2025-03-17,2000-03-16,2282300.0
2025,2025-03-18,2000-03-17,2490200.0
2025,2025-03-19,2000-03-18,2513300.0
2025,2025-03-20,2000-03-19,2537700.0
2025,2025-03-21,2000-03-20,2251300.0
2025,2025-03-22,2000-03-21,1423800.0
2025,2025-03-23,2000-03-22,1013700.0
2025,2025-03-24,2000-03-23,2220100.0
2025,2025-03-25,2000-03-24,2440900.0
2025,2025-03-26,2000-03-25,2461400.0
2025,2025-03-27,2000-03-26,2454900.0
2025,2025-03-28,2000-03-27,2211000.0
2025,2025-03-29,2000-03-28,1101500.0
2025,2025-03-30,2000-03-29,971900.0
2025,2025-03-31,2000-03-30,2137700.0
2025,2025-04-01,2000-03-31,2412300.0
2026,2026-02-01,2000-02-01,536300.0
2026,2026-02-02,2000-02-02,1232800.0
2026,2026-02-03,2000-02-03,1353400.0
2026,2026-02-04,2000-02-04,1375900.0
2026,2026-02-05,2000-02-05,1383900.0
2026,2026-02-06,2000-02-06,2117900.0
2026,2026-02-07,2000-02-07,1357700.0
2026,2026-02-08,2000-02-08,947700.0
2026,2026-02-09,2000-02-09,2050500.0
2026,2026-02-10,2000-02-10,2379600.0
2026,2026-02-11,2000-02-11,2351400.0
2026,2026-02-12,2000-02-12,2341400.0
2026,2026-02-13,2000-02-13,2198600.0
2026,2026-02-14,2000-02-14,1559600.0
2026,2026-02-15,2000-02-15,1147400.0
2026,2026-02-16,2000-02-16,2239200.0
2026,2026-02-17,2000-02-17,2452100.0
2026,2026-02-18,2000-02-18,2395900.0
2026,2026-02-19,2000-02-19,2470600.0
2026,2026-02-20,2000-02-20,2289800.0
2026,2026-02-21,2000-02-21,1444400.0
2026,2026-02-22,2000-02-22,1102600.0
2026,2026-02-23,2000-02-23,2245100.0
2026,2026-02-24,2000-02-24,2516900.0
2026,2026-02-25,2000-02-25,2491900.0
2026,2026-02-26,2000-02-26,2387200.0
2026,2026-02-27,2000-02-27,2165100.0
2026,2026-02-28,2000-02-28,1544500.0
2026,2026-03-01,2000-03-01,1181000.0
2026,2026-03-02,2000-03-02,2309300.0
2026,2026-03-03,2000-03-03,2454400.0
2026,2026-03-04,2000-03-04,2482400.0
2026,2026-03-05,2000-03-05,2525200.0
2026,2026-03-06,2000-03-06,2332400.0
2026,2026-03-07,2000-03-07,1405500.0
2026,2026-03-08,2000-03-08,995300.0
2026,2026-03-09,2000-03-09,2219000.0
2026,2026-03-10,2000-03-10,2485100.0
2026,2026-03-11,2000-03-11,2553500.0
2026,2026-03-12,2000-03-12,2567700.0
2026,2026-03-13,2000-03-13,2309800.0
2026,2026-03-14,2000-03-14,1579800.0
2026,2026-03-15,2000-03-15,1256000.0
2026,2026-03-16,2000-03-16,2315400.0
2026,2026-03-17,2000-03-17,2527100.0
2026,2026-03-18,2000-03-18,2415300.0
2026,2026-03-19,2000-03-19,2446200.0
2026,2026-03-20,2000-03-20,2295800.0
2026,2026-03-21,2000-03-21,1484300.0
2026,2026-03-22,2000-03-22,1166300.0
2026,2026-03-23,2000-03-23,2272100.0
2026,2026-03-24,2000-03-24,2526800.0
2026,2026-03-25,2000-03-25,2547600.0
2026,2026-03-26,2000-03-26,2490900.0
2026,2026-03-27,2000-03-27,2148700.0
2026,2026-03-28,2000-03-28,1472700.0
2026,2026-03-29,2000-03-29,1156600.0
2026,2026-03-30,2000-03-30,2275600.0
2026,2026-03-31,2000-03-31,2483900.0
